"","usageKey","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","eventDate","recordedBy","image","institutionID","collection_id","sex","preservation","bodypart","localisation","order","family","genus","canonicalName","authorship"
"91","m1","FR","Corsica ","Propriano, Plage du Robinson","41.6475","8.873611","2022-06-18","A. Riccieri, V. Filippini, E. Erbani",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"92","m1","FR","Corsica ","Venzloasca, Plage de Cap Sud","42.5125","9.531944","2022-06-19","A. Riccieri, V. Filippini, E. Erbani",NA,"MAB",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"93","m1","FR","Nouvelle-Aquitaine ","Charente M. Royan ","45.62","-1.05","","",NA,"Magistretti (1942)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"94","m1","FR","Nouvelle-Aquitaine ","Charente M. Saint-Georges-d'Oléron ","45.97605","-1.32386","2004-06-11","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"95","m1","FR","Nouvelle-Aquitaine ","Charente M. Saint-Trojan-les-Bains ","45.83277","-1.22543","2018-06-28","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"96","m1","FR","Nouvelle-Aquitaine ","Gironde Cap Ferret, Gironde ","44.79","-1.23","1959-06-26","P. Ardö",NA,"Vazquez database",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"97","m1","FR","Nouvelle-Aquitaine ","Landes Moliets-et-Maa ","43.85863","-1.36103","2007-06-15","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"98","m1","FR","Nouvelle-Aquitaine ","Landes Plage de Messanges ","43.214","-1.405","2011-07-24","",NA,"inaturalist",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"99","m1","FR","Nouvelle-Aquitaine ","Landes Seignosse ","43.71232","-1.43425","1994-07-05","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"100","m1","FR","Occitanie ","Aude Leucate ","42.89955","3.02594","2019-07-20","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"101","m1","FR","Occitanie ","Hérault Beziers ","43.25","3.31","","",NA,"NMPC",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"102","m1","FR","Occitanie ","Perpignan Canet-en-Roussillon ","42.6839","3.01091","1958-08-01","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"103","m1","FR","Provence-Alpes-Côte d'Azur ","Alpes Maritimes Golfe-Juan ","43.56","7.08","","",NA,"Caillol (1919)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"104","m1","FR","Provence-Alpes-Côte d'Azur ","Bouche du Rhone Camargue, les Saintes-Maries-de-la Mer, ","43.5","4.46","","",NA,"Caillol, (1919)",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
"105","m1","FR","Provence-Alpes-Côte d'Azur ","Bouche du Rhone Saintes-Maries-de-la-Mer ","43.5042","4.46441","1997-06-13","",NA,"INPN",NA,NA,NA,NA,NA,"Coleoptera","Oedemeridae","Stenostoma","Stenostoma rostratum","(Fabricius, 1787)"
