id,family,subfamily,tribe,genus,subgenus,species,subspecies,usage_key,det,typus,num_m,num_f,num_nosex,nation,region,location,altitude,lat,long,given_lat,given_long,date,collector,biog_reg,source,record_type,notes,collection_id,stage,preservation,localisation,tax_order,author_year
74,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Corse du Sud Plage de Conca ,,,,41.57,8.8,,,palaearctic,Schaefer (1964),specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
75,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Corse du Sud Sari-Solenzara ,,,,41.81348,9.3524,01_05_1973,,palaearctic,INPN; Schaefer (1964),specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
76,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Corse du Sud Vico ,,,,42.15079,8.73005,01_07_1931,,palaearctic,INPN,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
77,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Corsica ,,,,NA,NA,,,palaearctic,"Bertolini (1904), Desbrochers des Loges (1909), Schenkling (1915), Luigioni (1929), Porta (1934), Sainte Claire Deville (1937), Magistretti (1942, 1967), Bologna (1981), Giffi (1991), Švhila (2005), Fadda (2016)",specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
78,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse 10 km O Linguizetta ,,,,NA,NA,01_06_1968,H. Seidel,palaearctic,NMPC,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
79,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Aléria ,,,,42.10611,9.49592,27_06_2014,,palaearctic,INPN; Schaefer (1964),specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
80,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,"Haute Corse Aléria, plage du Caterage, Haute-Corse ",,,,42.12,9.54,01_07_2002,P. Leblanc,palaearctic,Vazquez database,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
81,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Bastia ,,,,42.68641,9.42512,05_07_2007,,palaearctic,INPN,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
82,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Borgo Les sables de Biguglia,,,,42.59,9.5,07_07_2021,P. Cerretti,palaearctic,MAB,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
83,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse dint. Aleria ,,,,42.09,9.54,02_08_1982,Saltini,palaearctic,RP,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
84,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,"Haute Corse Ghisonaccia Forêt de Pinia, littoral du marais de Cattolica",,,,42.02042,9.47258,22_05_2021,,palaearctic,INPN,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
85,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Linguezzetta Casamozza,,,,42.51,9.53,27_05_1975,Mühle,palaearctic,NMPC,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
86,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Linguizzetta ,,,,42.1978,9.55618,25_06_2000,,palaearctic,INPN,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
87,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Linguizzetta ,,,,42.21776,9.50997,01_07_1988,,palaearctic,INPN,specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
88,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Moriani Plage ,,,,42.37,9.53,20-22_6_1994,,palaearctic,"MZUR, Giffi (1991)",specimen,,,,,,Coleoptera,"(Fabricius, 1787)"
89,Oedemeridae,Oedemerinae,Stenostomatini,Stenostoma,,rostratum,,9182787,,,,,,France,Corsica,Haute Corse Palasca ,,,,42.66055507,9.061550102,18_06_2021,,palaearctic,inaturalist,photo,,,,,,Coleoptera,"(Fabricius, 1787)"
